helper	Freq	IDs	Rel	From	To	prop	quantil95
LOH_in_9p->-USP7	4	UPN05 UPN05 UPN04 UPN31	0.0833333333333333	LOH_in_9p	USP7	0.078290816326512	4
LOH_in_9q->-NOTCH1	2	UPN24 UPN09	0.0416666666666667	LOH_in_9q	NOTCH1	0.0749730506647358	2
NOTCH1->-BCL11B	3	UPN03 UPN20 UPN18	0.0625	NOTCH1	BCL11B	0.424918983758922	4
NOTCH1->-CCND3	2	UPN06 UPN01	0.0416666666666667	NOTCH1	CCND3	0.207341269841249	2
NOTCH1->-DNM2	2	UPN26 UPN01	0.0416666666666667	NOTCH1	DNM2	0.114583333333316	2
NOTCH1->-dup_in_9p	5	UPN08 UPN19 UPN12 UPN06 UPN15	0.104166666666667	NOTCH1	dup_in_9p	0.126841593780347	5
NOTCH1->-FBXW7	8	UPN03 UPN05 UPN06 UPN15 UPN05 UPN04 UPN18 UPN31	0.166666666666667	NOTCH1	FBXW7	0.0346366577256445	7
NOTCH1->-PIK3CD	2	UPN04 UPN09	0.0416666666666667	NOTCH1	PIK3CD	0.321803276646606	2
NOTCH1->-PTEN	2	UPN27 UPN18	0.0416666666666667	NOTCH1	PTEN	0.423376623376603	3
NOTCH1->-SMARCA4	2	UPN20 UPN18	0.0416666666666667	NOTCH1	SMARCA4	0.276982323232303	2
PHF6->-FBXW7	2	UPN03 UPN15	0.0416666666666667	PHF6	FBXW7	0.238095238095216	2
PHF6->-NOTCH1	2	UPN14 UPN24	0.0416666666666667	PHF6	NOTCH1	0.677697404719449	4
PIK3CA->-NOTCH1	3	UPN28 UPN24 UPN09	0.0625	PIK3CA	NOTCH1	0.032131307427741	2
PTEN->-CCND3	2	UPN24 UPN10	0.0416666666666667	PTEN	CCND3	0.174107142857123	2
PTEN->-PIK3CA	2	UPN28 UPN01	0.0416666666666667	PTEN	PIK3CA	0.202597402597382	2
PTEN->-SMARCA4	2	UPN10 UPN18	0.0416666666666667	PTEN	SMARCA4	0.194155844155824	2
PTEN->-USH2A	2	UPN24 UPN07	0.0416666666666667	PTEN	USH2A	0.14732142857141	2
STAT5B->-NOTCH1	2	UPN13 UPN25	0.0416666666666667	STAT5B	NOTCH1	0.17499999999998	2
USP7->-FBXW7	5	UPN05 UPN05 UPN06 UPN04 UPN31	0.104166666666667	USP7	FBXW7	0.0354172740524661	4
USP7->-NOTCH1	3	UPN05 UPN05 UPN06	0.0625	USP7	NOTCH1	0.529208424441179	4
